Airport,Latitudine,Longitudine
IND,39.7171046,-86.2661962
ISP,40.7834459,-73.086823
JAN,32.2987068,-90.0684083
JAX,30.5061639,-81.6611811
LAS,36.0855904,-115.1329963
LAX,33.9411553,-118.3790883
LBB,33.6635224,-101.8318622
LIT,34.7303779,-92.2043164
MAF,31.9390709,-102.2074268
MCI,39.2939355,-94.7126171
MCO,28.4283311,-81.2883524
MDW,41.786438,-87.7394663
MHT,42.9301912,-71.4353671
MSY,29.9978263,-90.2507042
OAK,37.7257297,-122.2008481
OKC,35.3941476,-97.6098975
OMA,41.3032,95.8942
ONT,34.0607579,-117.5761534
ORF,36.9060548,-76.1900268
PBI,26.682814,-80.0740645
PDX,45.5808991,-122.5600755
PHL,39.8811815,-75.2305932
PHX,33.4363236,-111.992865
PIT,40.4782057,-80.2027167
PVD,41.7271585,-71.4356144
RDU,35.8911319,-78.7702432
RNO,39.5090917,-119.7639495
RSW,26.5283768,-81.7471939
SAN,32.7286449,-117.1813678
SAT,29.5434247,-98.448468
SDF,38.1815406,-85.7222612
SEA,47.4638866,-122.2980566
SFO,37.623744,-122.3743948
SJC,37.3702376,-121.9305867
SLC,40.8018923,-111.9592341
SMF,38.6932593,-121.5861489
SNA,33.6823415,-117.8586094
STL,38.7351645,-90.3470941
TPA,27.9732844,-82.5215829
TUL,36.1972603,-95.8713137
TUS,32.1055727,-110.9225766
ABQ,35.0512172,-106.5833595
AMA,35.2111982,-101.7138619
AUS,30.1919257,-97.6504325
BHM,33.5526142,-86.7447939
BNA,36.1356889,-86.6645564
BOI,43.5694909,-116.2166786
BUF,42.9341574,-78.7223981
BUR,34.1963553,-118.3494838
BWI,39.1810808,-76.6635792
CMH,39.9982655,-82.8740694
CRP,27.7802688,-97.4995327
DAL,32.8457053,-96.8474346
DEN,39.8772263,-104.6080604
ELP,31.7983476,-106.3707719
FLL,26.0723667,-80.1357065
GEG,47.6289296,-117.5297175
HOU,29.6525452,-95.2741142
HRL,26.2263579,-97.6622444
IAD,38.9636342,-77.4320328
ALB,42.7347858,-73.8004776
BDL,41.9283844,-72.6710767
DTW,42.2326606,-83.3282217
CLE,41.4176908,-81.8309831
ORD,41.9765002,-87.8793295
SYR,43.109393,-76.0881295
EWR,40.7045533,-74.1544499
IAH,29.977778,-95.293782
COS,38.7977412,-104.691467
MRY,36.5861817,-121.8338622
LGB,33.8199927,-118.1398015
FAT,36.7660801,-119.7126767
BFL,35.4339997,-119.0481545
EUG,44.1355972,-123.2011366
ICT,37.6654889,-97.4189962
MEM,35.0586321,-89.9509745
BTV,44.4618484,-73.1413397
MKE,42.9579117,-87.8845011
LFT,30.2101978,-91.9920801
BRO,25.9097829,-97.4317312
PWM,43.6476541,-70.3082196
MSP,44.8789727,-93.1968888
CLT,35.2236857,-80.9282307
CVG,39.0582274,-84.6506095
GSO,36.108673,-79.931979
SHV,32.4560282,-93.8175451
RIC,37.49323,-77.3049046
DCA,38.8499088,-77.0405183
DFW,32.8894677,-96.9942226
BGR,44.808387,-68.8144122
DAY,39.8989807,-84.2015821
GRR,42.8813908,-85.4993419
CRW,38.3645432,-81.5871397
CAE,33.9448053,-81.1096961
GSP,34.9015926,-82.2093835
XNA,36.2739321,-94.2927658
GPT,22.624898,113.8094638
LGA,40.7694992,-73.8576341
ATL,33.6449637,-84.4009297
SRQ,27.3836929,-82.5453874
LEX,38.0427294,-84.5941971
LRD,27.5435238,-99.4525318
MOB,30.679148,-88.239891
SAV,32.126469,-81.1840893
MTJ,38.491165,-107.889311
MSN,43.1214858,-89.3418852
AEX,31.3270558,-92.5210422
PNS,30.475975,-87.169944
ROC,43.1216336,-77.6520958
TYS,35.8151399,-83.9822202
HSV,34.655943,-86.770586
MFE,26.1820616,-98.2365734
MLU,32.5102,92.0377
DSM,41.5410016,-93.6451173
MGM,32.3055283,-86.3889626
AVL,35.4302399,-82.5351408
LCH,30.1236928,-93.2184347
TLH,30.3972945,-84.3412858
CHS,32.881789,-80.0328843
VPS,30.4964162,-86.5473198
CLL,30.5937169,-96.3659617
GRK,31.0612756,-97.8175898
BTR,30.5320896,-91.1568979
ABE,40.6552792,-75.4293694
MYR,33.6782956,-78.9184065
CHA,35.0354768,-85.1947151
BOS,42.3558075,-70.9891085
DAB,29.1890598,-81.0572418
ASE,39.2181407,-106.862123
ATW,44.2557647,-88.5066464
BMI,40.4878189,-88.9098155
CAK,40.9158582,-81.4305712
CID,41.8882629,-91.6958221
CPR,42.9036,106.4647
EGE,39.64604,-106.912427
FLG,35.1515775,-111.6572675
FSD,43.5836599,-96.729088
FWA,40.985688,-85.1805344
GJT,39.1173213,-108.5206952
GRB,44.496287,-88.1132972
HNL,21.3335202,-157.9151595
KOA,19.7464488,-156.0393565
LAN,42.7780493,-84.5646746
LIH,21.9856291,-159.3396123
MBS,43.524476,-84.076001
MDT,40.1949068,-76.7391038
OGG,20.8959365,-156.4361824
PSP,33.8221148,-116.4951594
RAP,44.0290238,-103.0466875
SBN,41.7011811,-86.306844
SPI,39.8400305,-89.6647785
TEX,37.9538,107.9087
YUM,32.6635578,-114.5858392
AVP,41.3291684,-75.7243315
CWA,44.7852558,-89.6694296
DRO,37.1610577,-107.7491623
JFK,40.6496665,-73.7607504
ROA,37.3179951,-79.9686985
TVC,44.7389593,-85.5676382
ITO,19.7144686,-155.0375402
HDN,40.4886,107.2191
ILM,34.2696101,-77.9083407
SBA,34.4266404,-119.8312205
SBP,35.2367659,-120.6346675
CLD,33.1265108,-117.2758977
MFR,42.367497,-122.8730249
HPN,41.0662265,-73.7003029
MIA,25.7953168,-80.2655899
SGF,37.2400486,-93.3920928
TRI,36.4828072,-82.4076142
SUN,43.5057432,-114.3002368
